,Start_Time,SPEED,Coolant Temp,Engine Load,Throttle_pos_b,End_Time
56,1717228200,6.0 kilometer_per_hour,93 degree_Celsius,69.01960784313725 percent,22.745098039215687 percent,1717228200
57,1717228200,7.0 kilometer_per_hour,93 degree_Celsius,68.62745098039215 percent,23.529411764705884 percent,1717228200
58,1717228200,9.0 kilometer_per_hour,93 degree_Celsius,63.13725490196079 percent,23.137254901960784 percent,1717228201
59,1717228201,10.0 kilometer_per_hour,93 degree_Celsius,58.431372549019606 percent,23.137254901960784 percent,1717228201
60,1717228201,11.0 kilometer_per_hour,93 degree_Celsius,51.76470588235294 percent,23.137254901960784 percent,1717228201
61,1717228202,12.0 kilometer_per_hour,93 degree_Celsius,49.01960784313726 percent,23.137254901960784 percent,1717228202
62,1717228202,12.0 kilometer_per_hour,93 degree_Celsius,34.90196078431372 percent,20.0 percent,1717228202
63,1717228202,12.0 kilometer_per_hour,93 degree_Celsius,30.19607843137255 percent,18.823529411764707 percent,1717228203
64,1717228203,11.0 kilometer_per_hour,93 degree_Celsius,29.80392156862745 percent,18.431372549019606 percent,1717228203
65,1717228203,11.0 kilometer_per_hour,93 degree_Celsius,30.980392156862745 percent,18.431372549019606 percent,1717228203
66,1717228204,10.0 kilometer_per_hour,93 degree_Celsius,38.03921568627451 percent,18.823529411764707 percent,1717228204
67,1717228204,10.0 kilometer_per_hour,93 degree_Celsius,63.92156862745098 percent,20.784313725490197 percent,1717228204
68,1717228205,11.0 kilometer_per_hour,93 degree_Celsius,89.01960784313725 percent,47.84313725490196 percent,1717228205
69,1717228205,12.0 kilometer_per_hour,93 degree_Celsius,92.15686274509804 percent,76.86274509803921 percent,1717228205
70,1717228205,13.0 kilometer_per_hour,93 degree_Celsius,96.07843137254902 percent,80.0 percent,1717228205
71,1717228206,15.0 kilometer_per_hour,93 degree_Celsius,97.25490196078431 percent,82.74509803921569 percent,1717228206
72,1717228206,16.0 kilometer_per_hour,93 degree_Celsius,93.72549019607843 percent,79.6078431372549 percent,1717228206
73,1717228207,18.0 kilometer_per_hour,93 degree_Celsius,68.62745098039215 percent,25.098039215686274 percent,1717228207
74,1717228207,19.0 kilometer_per_hour,93 degree_Celsius,57.64705882352941 percent,22.352941176470587 percent,1717228207
75,1717228207,20.0 kilometer_per_hour,93 degree_Celsius,65.09803921568627 percent,25.88235294117647 percent,1717228208
76,1717228208,21.0 kilometer_per_hour,93 degree_Celsius,72.15686274509804 percent,26.274509803921568 percent,1717228208
77,1717228208,22.0 kilometer_per_hour,93 degree_Celsius,69.01960784313725 percent,26.666666666666668 percent,1717228208
78,1717228209,24.0 kilometer_per_hour,93 degree_Celsius,70.19607843137256 percent,27.45098039215686 percent,1717228209
79,1717228209,26.0 kilometer_per_hour,93 degree_Celsius,71.37254901960785 percent,27.84313725490196 percent,1717228209
80,1717228209,27.0 kilometer_per_hour,93 degree_Celsius,72.15686274509804 percent,29.019607843137255 percent,1717228210
81,1717228210,29.0 kilometer_per_hour,93 degree_Celsius,78.82352941176471 percent,30.58823529411765 percent,1717228210
82,1717228210,31.0 kilometer_per_hour,93 degree_Celsius,78.43137254901961 percent,30.980392156862745 percent,1717228210
83,1717228211,33.0 kilometer_per_hour,93 degree_Celsius,81.17647058823529 percent,32.549019607843135 percent,1717228211
84,1717228211,35.0 kilometer_per_hour,93 degree_Celsius,81.56862745098039 percent,33.333333333333336 percent,1717228211
85,1717228212,37.0 kilometer_per_hour,93 degree_Celsius,78.82352941176471 percent,33.72549019607843 percent,1717228212
86,1717228212,39.0 kilometer_per_hour,93 degree_Celsius,74.90196078431373 percent,33.333333333333336 percent,1717228212
87,1717228212,41.0 kilometer_per_hour,93 degree_Celsius,71.37254901960785 percent,32.94117647058823 percent,1717228212
88,1717228213,43.0 kilometer_per_hour,93 degree_Celsius,69.80392156862744 percent,32.94117647058823 percent,1717228213
89,1717228213,45.0 kilometer_per_hour,93 degree_Celsius,68.62745098039215 percent,33.333333333333336 percent,1717228213
90,1717228214,47.0 kilometer_per_hour,93 degree_Celsius,67.84313725490196 percent,33.333333333333336 percent,1717228214
91,1717228214,49.0 kilometer_per_hour,93 degree_Celsius,66.66666666666667 percent,32.94117647058823 percent,1717228214
92,1717228214,50.0 kilometer_per_hour,93 degree_Celsius,66.27450980392157 percent,33.333333333333336 percent,1717228215
93,1717228215,52.0 kilometer_per_hour,93 degree_Celsius,65.88235294117646 percent,33.333333333333336 percent,1717228215
94,1717228215,54.0 kilometer_per_hour,93 degree_Celsius,65.09803921568627 percent,33.333333333333336 percent,1717228215
95,1717228216,55.0 kilometer_per_hour,93 degree_Celsius,65.09803921568627 percent,33.72549019607843 percent,1717228216
96,1717228216,56.0 kilometer_per_hour,93 degree_Celsius,18.823529411764707 percent,21.96078431372549 percent,1717228216
97,1717228216,56.0 kilometer_per_hour,93 degree_Celsius,17.647058823529413 percent,20.784313725490197 percent,1717228217
98,1717228217,56.0 kilometer_per_hour,93 degree_Celsius,19.607843137254903 percent,19.215686274509803 percent,1717228217
99,1717228217,56.0 kilometer_per_hour,93 degree_Celsius,26.666666666666668 percent,21.96078431372549 percent,1717228217
100,1717228218,55.0 kilometer_per_hour,93 degree_Celsius,38.431372549019606 percent,23.92156862745098 percent,1717228218
101,Start_Time,SPEED,Coolant Temp,Engine Load,Throttle_pos_b,End_Time
